"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"30",-3.22208366358615,-4.41297997099633,-5.054106891906,-1.45350121473365,-2.3655730840416,-5.99655913978495,0.368024193548393,-1.45350121473365,0.74327,-2.50859965999435,1996-07-01
"31",-1.69354592417005,-2.88038237546917,-4.32745053929051,-0.649729426298521,-1.17746554572448,-4.72399193548389,1.77774926686214,-0.649729426298521,0.46521,-2.57935251376423,1996-10-01
"32",-0.593599012096291,-1.73194430976633,-3.8232292989328,-0.411651591859701,-0.379894443828893,-3.77045454545456,2.71208221925134,-0.411651591859701,0.21373,-1.53043473565698,1997-01-01
"33",-0.100706518502221,-1.16763623064881,-3.81347807027021,1.03848116728322,-0.143713872969781,-3.36274509803923,3.04453781512603,1.03848116728322,0.0076462,-0.891480258816475,1997-04-01
"34",-0.343970623544465,-1.34292944484761,-4.5545821324433,0.449399979913254,-0.607148161872445,-3.70521008403361,2.68274509803921,0.449399979913254,-0.28043,-0.368189235420611,1997-07-01
"35",-0.210980343667899,-1.13505256740973,-4.87007628787666,-0.219750735259204,-0.654820180708849,-3.64809523809524,2.71490347490348,-0.219750735259204,-0.60421,-0.776455516698414,1997-10-01
"36",-0.0999460672141765,-0.944525388285626,-5.16088241379774,-0.708961655429863,-0.693387692362938,-3.59159159159162,2.74164295874823,-0.708961655429863,-0.62131,-0.937246912591438,1998-01-01
"37",-0.168835077384841,-0.936677268419402,-5.61693889267374,-0.413003711086973,-0.88821660297774,-3.71507823613089,2.6072765072765,-0.413003711086973,-0.46641,-1.02981020768043,1998-04-01
"38",-0.380022771897586,-1.07984123979119,-6.22848908879203,-0.549259318481942,-1.20946363483562,-4.00080971659921,2.34746963562753,-0.549259318481942,-0.33548,-1.05174096540102,1998-07-01
"39",-0.620305228577763,-1.2627626605377,-6.89155815389864,-0.87484860982452,-1.55117151551465,-4.34333333333333,2.07011257035649,-0.87484860982452,-0.26064,-1.26610466862926,1998-10-01
"40",-0.0790325136370313,-0.649546588951154,-6.65710634900498,-0.877165740681582,-1.09129696799449,-3.83426829268294,2.57753484320557,-0.877165740681582,-0.088117,-1.53978887422536,1999-01-01
"41",2.19417191397383,1.76737159804051,-4.2513485483679,-0.259551187388406,1.16246124329834,-1.28501742160279,4.82887124220079,-0.259551187388406,0.04754,-1.18917498800167,1999-04-01
"42",2.8432036549498,2.57795938195358,-3.29418826861391,0.747559985284216,1.84040006673831,-0.239977851605772,5.48432497734821,0.747559985284216,0.15444,0.513957425279687,1999-07-01
"43",3.77818046268132,3.70024474939589,-1.81727357876065,2.50591687301929,2.8797454685034,1.25750528541226,6.46046511627908,2.50591687301929,0.038753,1.26493375845262,1999-10-01
"44",3.00218974012174,3.07909684330721,-2.11988532640757,1.03559976969186,2.24794945191355,0.980303030303048,5.73738471673255,1.03559976969186,0.052967,2.37776052066154,2000-01-01
"45",3.67377555778279,3.91907340928341,-0.795763675452122,1.1329345809052,3.12764629488015,2.27980676328502,6.49071230342275,1.1329345809052,0.33667,1.68736685991885,2000-04-01
"46",4.52827300921706,4.96078565491101,0.929708186920323,0.527445060899343,4.24840380243325,3.92571692876965,7.46451202590194,0.527445060899343,0.1831,2.36272432425865,2000-07-01
"47",4.0708987124352,4.66514341522867,1.33046172038155,2.13683807488073,4.09153936751,4.2396276595745,7.12914676508902,2.13683807488073,0.12381,2.98421863405797,2000-10-01
"48",4.17386791550547,4.92171181581625,2.36891698878159,2.48794977185062,4.53732831020277,5.16802721088439,7.36737244897958,2.48794977185062,0.05604,3.24624815782738,2001-01-01
"49",4.48266545151668,5.38233384653032,3.72499677117983,1.91482311301899,5.22523339019967,6.38702040816324,7.83081392557023,1.91482311301899,0.094692,3.61139532246543,2001-04-01
"50",3.66999858748372,4.68234557735448,3.8668114060813,2.60466956423552,4.79999754570284,6.39952941176472,7.14468778280545,2.60466956423552,-0.056931,3.93343379998451,2001-07-01
"51",3.09817074291718,4.19169334362027,4.18397507153273,2.48084388828054,4.61960164577029,6.59102564102565,6.67221036455223,2.48084388828054,-0.27877,3.75795252507184,2001-10-01
"52",2.17205151777654,3.30392348517822,4.00471370810692,1.03564076157282,4.06459048669007,6.30079825834542,5.79406547331072,1.03564076157282,-0.38687,3.53666865594783,2002-01-01
"53",0.983397703498554,2.10288882897109,3.35647029357918,0.889606504203518,3.20650921646205,5.56415094339624,4.57922622450923,0.889606504203518,-0.4045,2.7672531405643,2002-04-01
"54",-0.308623513764417,0.74563857323119,2.36043376595978,0.0390998578044716,2.18505263786327,4.50565656565655,3.17120490620491,0.0390998578044716,-0.34309,2.09238088051034,2002-07-01
"55",-0.535179430036351,0.438199380909367,2.36054876924834,-0.537940144166569,2.17681252829113,4.44837662337662,2.79395078605603,-0.537940144166569,-0.3697,1.12025194042603,2002-10-01
"56",-0.304613441563077,0.589972127972715,2.82966105521658,-0.416097729010695,2.57921395037329,4.85751879699248,2.86991508944774,-0.416097729010695,-0.11739,0.871573750454558,2003-01-01
"57",-0.593146172064849,0.209974335556467,2.70158155689737,0.748390370782751,2.41388216653371,4.67676950998185,2.39389399858501,0.748390370782751,0.0083715,1.11076171584463,2003-04-01
"58",-1.53005274062434,-0.850710553695251,1.72560776435068,0.834741675660265,1.54380388438507,3.66592635885448,1.1917007597896,0.834741675660265,0.10537,1.22322158288407,2003-07-01
"59",-2.96435516360742,-2.45600239605491,-0.0503556512639989,-0.171342833359332,0.10357370837074,1.87932203389832,-0.62726312864686,-0.171342833359332,0.15874,0.621454197657258,2003-10-01
"60",-2.76562731860074,-2.41962176165862,-0.216611581827351,-1.19561507945172,0.247420014538069,1.70382513661201,-0.818878900052852,-1.19561507945172,0.35505,-0.658630551836328,2004-01-01
"61",-1.42571447255366,-1.19311037295134,0.949946833324674,-1.1607728384745,1.50918399088004,2.84907456372292,0.220382261841792,-1.1607728384745,0.43419,-0.847307249395831,2004-04-01
"62",-1.20204877942427,-1.06882284591921,1.01140015178885,0.395384575896485,1.6300233069994,2.89001536098311,0.158760560675887,0.395384575896485,0.44573,-0.045389303821548,2004-07-01
"63",-1.07631572831261,-1.03102830399854,0.973405825077492,1.28669586300223,1.64597080518132,2.83318452380954,0.0100503663003622,1.28669586300223,0.31435,0.373435738224426,2004-10-01
"64",-1.35146233342959,-1.39567469651911,0.463355615491224,0.279840947221548,1.24980479148716,2.30899038461538,-0.560743006993022,0.279840947221548,0.25191,0.560878029438043,2005-01-01
"65",0.457391999693556,0.391156249473909,2.34368813379055,0.312094728838792,2.97463880752507,4.1648951048951,1.11284417075464,0.312094728838792,0.17234,0.0593191967348481,2005-04-01
"66",0.294357744281399,0.208601199224319,2.22696141532722,0.344001903062827,2.73378759600773,4.02745364088648,0.813915715539963,0.344001903062827,-0.078326,1.22038697073239,2005-07-01
"67",0.95688505899804,0.880300132993256,3.05846754741708,1.85287714403281,3.35707049425895,4.83788410886743,1.41349391151658,1.85287714403281,-0.45018,1.07228865494519,2005-10-01
"68",0.905538593669149,0.842318725228552,3.1780684629706,0.514055639417322,3.2886220162087,4.93989769820971,1.30941724515895,0.514055639417322,-0.59683,1.82453820913877,2006-01-01
"69",1.56374797270558,1.54031779733802,4.13697802696714,1.18759976681868,3.96956809356297,5.88302277432712,1.99164552532582,1.18759976681868,-0.6374,1.49034814603765,2006-04-01
"70",1.17560689694477,1.18273148656039,3.99724102871946,0.801112547670984,3.62051585876293,5.73255533199196,1.60522468142184,0.801112547670984,-0.73672,2.13558114401435,2006-07-01
