"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"30",-0.0431893890969235,-1.29246729318389,-6.2639811702654,-0.152774890248199,0.201313866955119,-1.53655913978494,3.02217741935485,-0.152774890248199,1.0942,0.150755605497899,1996-07-01
"31",-0.225458342292384,-1.35758586676199,-7.14404686560624,0.07522093864135,-0.164387738507072,-1.82318548387096,2.5973607038123,0.07522093864135,0.77658,-0.549032250469722,1996-10-01
"32",-5.56251709669274,-6.75745150678115,-14.1092250269159,0.0982485365896756,-5.7781243395348,-7.7965909090909,-2.61953542780749,0.0982485365896756,0.76348,-0.780606344653594,1997-01-01
"33",-2.74969619845764,-3.91961637689944,-12.4476238801661,-0.1529192252289,-3.201955244828,-5.37201426024956,0.128724216959512,-0.1529192252289,0.52127,-4.60898103991524,1997-04-01
"34",-0.119762794865125,-1.18032360941939,-10.4796840521846,0.454268044054492,-0.790537611114612,-2.85647058823531,2.58260504201682,0.454268044054492,0.12749,-2.94732707243617,1997-07-01
"35",0.386510597625431,-0.550127834956882,-10.4938549706857,-0.474257593538293,-0.47593114719299,-2.39285714285714,2.9285714285714,-0.474257593538293,-0.29314,-1.2033930969263,1997-10-01
"36",2.14166252116901,1.38360118402449,-8.8841295205286,-0.190593363368988,1.16942114889412,-0.456306306306317,4.50504978662875,-0.190593363368988,-0.44477,-1.21479258614018,1998-01-01
"37",3.33704668879618,2.79259916172934,-7.53787578286979,-0.105933386304942,2.33691194900086,1.10056899004267,5.5391837181311,-0.105933386304942,-0.4092,-0.0296010300641914,1998-04-01
"38",5.81698402696858,5.56188923988412,-4.36314692364358,0.0335800386372796,4.91770301813025,4.29595141700406,7.86467611336032,0.0335800386372796,-0.33929,0.790616244300534,1998-07-01
"39",5.19125229837205,5.19645681379556,-4.28579038313494,0.0160726601203606,4.46938653172415,4.37641025641025,7.15030018761725,0.0160726601203606,-0.30085,2.61973885936618,1998-10-01
"40",5.77414107253543,6.04731857105867,-2.78815950155632,0.450450754696733,5.3338943417635,5.79926829268292,7.68463414634145,0.450450754696733,0.065956,2.35339391819602,1999-01-01
"41",6.59072533360599,7.14530224452238,-0.801032757773697,0.417175776218047,6.5241772490667,7.62508710801394,8.49227777327606,0.417175776218047,0.15821,3.08136119588565,1999-04-01
"42",5.73716225836948,6.52951423111705,-0.528386374157876,0.690090924142964,6.09630583058591,7.73089700996677,7.66045001510118,0.690090924142964,0.37131,3.88500505541905,1999-07-01
"43",6.0457656260827,7.06888459111498,1.05353568364849,0.976921345844279,6.89554046721089,9.09323467230442,8.0171247357294,0.976921345844279,0.19754,3.68482241666334,1999-10-01
"44",5.75761435872327,6.98411121184427,2.07462695645023,0.780037159482164,7.13306707426649,9.87060606060605,7.79178524374177,0.780037159482164,0.024461,4.22347139499636,2000-01-01
"45",6.59771989874088,8.03711862283967,4.45455699204607,1.57523587824729,8.55243357465924,11.9426086956522,8.72598828245451,1.57523587824729,-0.60634,4.27189253325245,2000-04-01
"46",5.6828600362162,7.28679145162901,4.99589486498044,1.57869726758383,8.22808108474866,12.1806660499537,7.89626503237743,1.57869726758383,-0.90671,5.26786769219832,2000-07-01
"47",3.94506441096271,5.63762639807905,4.46011746651786,1.55349024478677,7.06572523108704,11.3789893617021,6.19577724706903,1.55349024478677,-1.1485,4.98567929581084,2000-10-01
"48",4.94588659000834,6.74238577097631,6.87715200787417,1.28051096861877,8.66158002020802,13.4819727891156,7.26155612244898,1.28051096861877,-1.0423,4.09995409217924,2001-01-01
"49",3.4769345085069,5.31293988405022,6.5990901216955,1.18274606089964,7.74368748992041,12.9212244897959,5.79992797118848,1.18274606089964,-0.95438,5.00139907979791,2001-04-01
"50",2.78448096053287,4.62230633880171,6.9877857285687,2.04636823003182,7.57379177035119,13.0395294117647,5.07527601809954,2.04636823003182,-0.9619,4.30989305365774,2001-07-01
"51",2.88816144667439,4.71853447352964,8.19521082746479,1.21970156611228,8.17266530601782,13.9704374057315,5.13902501494067,1.21970156611228,-0.90273,4.29463447281493,2001-10-01
"52",2.42682309898754,4.22415675130958,8.75678999291529,1.84591118226087,8.16628280157337,14.266473149492,4.6047250443477,1.84591118226087,-0.58396,4.38700741147029,2002-01-01
