"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"31",-2.64983777261256,-4.20851850492033,-12.9273145332833,-4.43830431050924,-17.8451298701299,-3.50058099794941,-0.791926348741244,0.78853,-7.16099623761349,1996-10-01
"32",-4.60164773414377,-6.18993256005825,-16.4697278768264,-5.26314046715211,-20.9105263157895,-5.50530528908482,0.205801691366798,0.95429,-6.57174471377314,1997-01-01
"33",-4.30037355963299,-5.9066869188448,-17.7133439231483,-6.04200050285479,-21.7041137326074,-5.24287735703959,-2.17580253645246,1.1003,-8.2733743770251,1997-04-01
"34",-3.48372968235051,-5.07917227904125,-18.2944892043728,-6.46979846725446,-21.8720046756283,-4.4111630625365,-1.00501768221831,1.0826,-8.81824618062807,1997-07-01
"35",0.0450559246796729,-1.42063003744249,-15.5072330117418,-5.61424252850964,-18.7477966101695,-0.608980272297913,-0.678430191664987,0.79366,-7.70079776214502,1997-10-01
"36",-1.85160382209571,-3.24836688823987,-18.4257599773047,-6.77402177919384,-21.3328415300547,-2.35131940772078,1.10049686489285,0.62542,-5.7669737268646,1998-01-01
"37",-1.24793410345251,-2.55662542940107,-18.6984967691644,-6.96652674726687,-21.3075621364357,-1.53884565989273,-1.82633054882644,0.15396,-7.1516533649464,1998-04-01
"38",0.381782157150013,-0.786552335244068,-17.6041443950057,-6.06112083216757,-19.9611367127496,0.440384984639053,-0.427272750237517,-0.29096,-7.16316265833277,1998-07-01
"39",-2.72082607526798,-3.85419578702835,-21.7415839173673,-10.6032546430162,-23.8472718253968,-2.55295329670329,-0.0209497622984763,-0.82505,-6.18698782857741,1998-10-01
"40",-4.2609804220121,-5.41539946125815,-24.5793222770074,-10.127710284684,-26.4518269230769,-4.12150568181818,-3.07815391953928,-1.381,-9.01750181321654,1999-01-01
"41",-4.27778065751443,-5.45868859956977,-25.9005359239049,-9.17111706402099,-27.5716083916084,-4.18356956476362,-2.62195819634697,-1.648,-10.7642806225867,1999-04-01
