"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"31",-1.6935459161061,-2.88038231731548,-4.32745161650493,-2.07878422539306,-8.07707792207793,-5.06188653451812,-0.441186655302962,-0.59019,-4.12976950346088,1996-10-01
"32",-0.593599006434033,-1.73194425312292,-3.82323006460288,-0.33542082746925,-7.38665413533835,-3.89064039408868,0.637458949413987,-0.22771,-3.06497618276267,1997-01-01
"33",-0.100706514886554,-1.16763617619262,-3.8134785403544,-0.361831733508467,-7.20477918935271,-3.2759543511028,0.283694646450468,0.0050904,-2.03167985590622,1997-04-01
"34",-0.343970621645752,-1.34292939310149,-4.55458232245994,0.735370099656649,-7.7771478667446,-3.39666861484511,-0.359163781288046,0.13946,-1.82546027648387,1997-07-01
"35",-0.210980343184247,-1.13505251876057,-4.87007621290803,-1.70645519960641,-7.9337288135593,-3.11837732703529,-0.672980195200156,0.17338,-1.95479343893411,1997-10-01
"36",-0.0999460678725939,-0.944525343001573,-5.16088208849416,-2.7539309276755,-8.07579234972678,-2.84216816499207,-0.424537119449495,0.20826,-2.28962928914536,1998-01-01
"37",-0.168835078941555,-0.936677226666092,-5.61693833125736,-1.78828930908398,-8.39169751454259,-2.74128578983155,-0.517151537789263,0.11039,-2.39154721351847,1998-04-01
"38",-0.380022774137643,-1.0798412016469,-6.22848830506089,-0.513238632938652,-8.87081413210444,-2.7922331029186,-0.753235603715834,-0.11199,-2.39000960552232,1998-07-01
"39",-0.620305231314035,-1.26276262600717,-6.89155716123076,0.958498488182855,-9.40962301587302,-2.88777472527471,-0.967203973001161,-0.34667,-2.47450146266152,1998-10-01
"40",-0.0790325167088497,-0.649546557978312,-6.65710516036245,0.188572144012937,-9.06596153846155,-2.15374562937063,-0.576898349022535,-0.48594,-2.48641679299943,1999-01-01
"41",2.19417191070244,1.76737162556103,-4.25134717630121,2.782832522801,-6.57706293706295,0.516476359461421,0.942786477833506,-0.33582,-2.15516271174218,1999-04-01
"42",2.84320365159195,2.57795940616603,-3.29418672526629,3.48553039858962,-5.54970601537767,1.63894963684251,1.845929687034,-0.051407,-0.0422260316356891,1999-07-01
"43",3.77818045932943,3.70024477047431,-1.81727187587268,2.70334742061252,-4.01492537313433,3.15211665457878,1.31595166613076,0.39239,0.807519845919199,1999-10-01
"44",3.00218973684954,3.0790968614474,-2.1198834753219,3.43977199659233,-4.26317135549871,2.90122396784801,0.842412995799533,0.70633,1.42293749270428,2000-01-01
"45",3.67377555464745,3.9190734246958,-0.795761687118443,4.16788738973395,-2.89200828157348,4.17332866765813,0.439574482198685,0.90774,1.27791186151147,2000-04-01
"46",4.5282730062612,4.96078566781466,0.929710301940219,6.44454580842947,-1.12434607645875,5.72468142186452,1.83408627261775,1.1252,2.05692990954077,2000-07-01
