"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"96",-1.65607883994187,-1.62741190732154,7.35284788777284,9.53073560569808,11.8769008264463,3.96409090909094,-0.0774717041293593,1.8583,4.75520177175812,2013-01-01
"97",-3.39974889984435,-3.50644035655898,4.90208347432812,2.35310272881631,9.60134128166916,1.49122830206758,-0.994695646807397,1.4018,3.81206302905113,2013-04-01
"98",-3.19877763958922,-3.4309382865608,4.37391382226647,0.286605407117634,9.23666533386645,0.950318582244506,-1.37424113154485,0.78969,1.37930267330097,2013-07-01
"99",-4.00588736869082,-4.38537156592324,2.63902897305334,0.23869963149707,7.62425911355888,-0.768185680566489,-0.326225442685575,0.24795,0.830987947274897,2013-10-01
"100",-2.80280667872196,-3.28384411744105,3.07464499776827,-1.73470688977591,8.19214193548387,-0.325567741935487,-0.462514822240592,-0.050098,0.0684919242413359,2014-01-01
"101",-1.21874977480093,-1.74140384710742,4.14341517359188,-2.69100343289884,9.41889523809522,0.731568653918259,1.60594120424434,0.0071046,0.253738464566074,2014-04-01
"102",-0.564697756953564,-1.0992986656901,4.39111522922815,-2.14232552732628,9.83108361454819,0.963339543494556,1.87472638071321,0.23319,1.21089733079409,2014-07-01
"103",-0.348974814753348,-0.881094223403835,4.24039737087114,-2.66808722270662,9.84168307086617,0.798705021973973,1.02986290045616,0.60055,1.61736978863597,2014-10-01
"104",1.2702829698612,0.800440377487661,5.79294757713924,0.835952428386008,11.5951671511628,2.31490524373882,1.48828497870164,1.0835,1.52547533302522,2015-01-01
"105",0.617728942609943,0.193749988308866,4.98294903469045,1.73309688497201,10.967084078712,1.48075625776673,1.92677904993037,1.5024,3.09075880947169,2015-04-01
"106",0.242129401122526,-0.145366521924473,4.39865792567718,1.93530888044828,10.5507339988256,0.880355522340267,0.0291805456778106,1.5755,2.8728109753006,2015-07-01
"107",1.29550082498832,0.981053059329383,5.44658030213012,1.40651147914213,11.7944136016655,1.89876495541421,0.842024669439058,1.6553,2.38763690529385,2015-10-01
"108",2.26854261803365,2.06031734460819,6.61787474157944,3.67867483345941,13.1934951013899,3.02709623448035,2.32807486966668,1.8234,3.12558790751532,2016-01-01
"109",2.83583756182836,2.75235059781519,7.52587231930417,2.18877160143126,14.3554371002132,3.8832753525605,2.54749006129433,2.0463,4.33979937077206,2016-04-01
"110",2.34658060912147,2.36972614925565,7.33280503888452,0.58401164348146,14.4139635157546,3.64288020680911,1.87511515035048,2.0521,4.7273042050337,2016-07-01
"111",1.98293866532612,2.09697559013716,7.23355823982769,1.94525999340246,14.5662745098039,3.49943848098849,0.976477922747984,1.9809,4.28573874684727,2016-10-01
"112",1.48801417717996,1.67171797660114,6.93956117383971,0.180797759565991,14.5184091884929,3.1661272331846,0.982447504368975,1.7991,4.24145089702538,2017-01-01
"113",0.419533401394119,0.631991094592223,5.89473324946471,-2.09098170264954,13.693494128848,2.09365372189711,0.48316838920985,1.4869,3.79239287331698,2017-04-01
"114",-0.763812222168639,-0.567622716552705,4.5198676914666,-0.43847656916617,12.5022729642373,0.704490817284068,-0.349320279554724,0.95928,2.7673937089936,2017-07-01
"115",-1.29303521457126,-1.13604315827411,3.68590407487102,-0.762122380709712,11.8294450154162,-0.136804355907344,-0.492518228542536,0.51155,2.014413176034,2017-10-01
"116",-1.12760550472223,-1.00851652065009,3.5536021819596,-0.419832528805415,11.854650455927,-0.276208099661773,0.200354112254277,0.23653,1.47509537343025,2018-01-01
"117",-0.81025973570209,-0.721265422730795,3.61213603296727,3.37030644864777,12.072350414544,-0.226124759268288,0.86097135315773,0.18491,1.58143463795907,2018-04-01
"118",-0.778281110323718,-0.719827603345493,3.37832423833319,1.93102467088681,11.9911553235497,-0.467461177320331,0.914061227341198,0.19154,2.25245699960096,2018-07-01
"119",-1.21498542665896,-1.20226003151456,2.58492192301895,3.02761346557725,11.3276515151515,-1.26380917932642,0.429221243928202,0.25692,2.0110098796449,2018-10-01
"120",1.34105010924966,1.3926110873465,5.23405238873875,4.53789953054158,14.1823371647509,1.36390863643521,1.31434140879226,0.61073,1.72492629069868,2019-01-01
"121",1.43581538475215,1.53045587473363,5.4615131145278,2.22789392905614,14.6232687765706,1.56905073602422,3.37149887904139,1.1447,3.72332110807547,2019-04-01
"122",1.87920214599262,2.03188296243252,6.14079472079189,4.57109176273696,15.5373217780263,2.22280674580088,1.62953678103136,1.534,3.90317665135134,2019-07-01
"123",0.752660494637041,0.925626010670555,5.07192925724974,4.25159869813243,14.6738095238095,1.13496225989036,1.26759863039349,1.736,4.41375630347387,2019-10-01
"124",2.39344974295159,2.63957281738612,7.07871800754137,2.49889143439643,16.9464538363867,3.1135017231997,1.18701956269676,1.8905,3.71417185746807,2020-01-01
"125",13.4048821735099,14.0878553273677,20.4976725866675,18.047243899896,31.0329395973155,16.4472335659362,9.40633823817974,3.2054,4.75623957808036,2020-04-01
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-01
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-01
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-01
