"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"31",-1.69233413460151,-3.05165231313464,-3.62774648251701,0.620548368941058,-9.01610389610389,-5.71005468215995,-1.08092010799111,0.58094,-2.89785091961378,1996-10-01
"32",0.426857749990148,-0.832075197468015,-1.92964938405549,3.75203115928872,-7.15507518796994,-3.40321169302567,2.13555641390879,0.78924,-2.80432464452412,1997-01-01
"33",0.752436587716858,-0.389129616655396,-1.92848152017251,3.94241393029563,-7.00072595281307,-2.84635331754285,4.63511467510852,1.0141,-0.684402455073244,1997-04-01
"34",0.995899424164293,-0.0168266586447317,-1.92441281766156,5.76605846179538,-6.85265926358855,-2.33495032144947,0.834137644796443,1.0443,-0.0801968645754027,1997-07-01
"35",0.768551138194766,-0.122017506216707,-2.39025284676481,4.50167762328718,-7.17745762711863,-2.29361489302588,0.140748677493306,1.1913,-0.174545961611919,1997-10-01
"36",1.68884091642252,0.949441242631053,-1.50352644338923,5.83294060974603,-6.16825136612022,-1.02328397673188,1.09433218294679,1.3727,-0.477666096762098,1998-01-01
"37",3.1063097727511,2.5619934471172,0.187760979242796,6.23121076128513,-4.37794817556846,0.869476971116313,5.04843610236865,1.8533,0.517009962269487,1998-04-01
"38",4.01017264263348,3.68616622323339,1.59717423048227,6.35094501310365,-2.88556067588326,2.34132584485405,7.12388283350287,2.4202,2.19741852546576,1998-07-01
"39",3.36401113437924,3.23199872333043,1.41455893841908,7.4730550225089,-2.98506944444446,2.23019688644692,3.62020998571127,2.9083,3.31452805077982,1998-10-01
"40",1.01346957955678,0.986189509994034,-0.83988662857513,5.43812281074705,-5.14274038461537,0.225069930069935,-1.24983364975289,2.7073,2.72052066201435,1999-01-01
"41",-0.408643979965632,-0.389512921216777,-2.40253424127386,5.51457099323596,-6.60433566433568,-0.984014194760476,-4.58832733297893,2.0616,0.443842644415045,1999-04-01
"42",-2.01607572370864,-2.01486079748881,-4.44318270874405,3.54544588956466,-8.54079601990048,-2.54043020193151,-4.64303521827873,1.1686,-0.932578656563295,1999-07-01
"43",-3.97556130747532,-4.06721392951536,-7.21613814736557,2.65618831995076,-11.2079016681299,-4.65625453296178,-8.64106316058415,0.29422,-2.36804404688226,1999-10-01
"44",-1.29608684785276,-1.39996219802651,-4.9107686070756,3.99578065815535,-8.81598465473144,-1.91540920716113,-2.32496493122383,-0.21244,-4.54958277515038,2000-01-01
"45",-1.92307958895296,-2.06453301545724,-6.03250301072035,1.50115880018294,-9.85755693581783,-2.55436094829847,2.28880168076667,-0.33953,-2.12128158153599,2000-04-01
"46",-2.22144986981988,-2.41398455902791,-6.89454608806003,1.14483343109831,-10.6480885311871,-2.90974178403755,-2.28037744254074,-0.64787,-2.36582519142952,2000-07-01
"47",-3.12982369066071,-3.40590188590542,-8.54960867161685,0.236760244579756,-12.2411971830986,-3.98242652260595,-2.88442328322269,-0.95928,-3.39959684552134,2000-10-01
"48",-0.348448562663918,-0.617112730498519,-6.03620800050561,1.50984451462176,-9.67694063926939,-1.09913766506233,-0.548277979611064,-0.9415,-4.3554113271711,2001-01-01
"49",-0.275604884833371,-0.53353876777183,-6.20332355442847,1.45394563635301,-9.80181414291005,-0.913669011477225,2.58572872410819,-0.64069,-2.24658729162938,2001-04-01
"50",2.10717709506116,1.93956592164952,-3.6103885504088,4.09830821765991,-7.17016216216214,1.83885633001421,1.8043340648269,-0.33505,-1.74758332728936,2001-07-01
"51",2.44603262242723,2.380733413542,-2.94980643754832,4.95283619847825,-6.47424561403508,2.60417771701984,3.84787195626219,0.17564,0.0847674567933697,2001-10-01
"52",4.50097334829843,4.60526974984339,-0.146624614191779,5.92001048300693,-3.63072453861929,5.33126741679371,3.96159337739985,0.62222,0.909988286003062,2002-01-01
"53",4.28439678755325,4.5491220494265,0.423790942307477,5.19930944381707,-3.01878121878119,5.79394403065291,4.9783471692507,0.92409,2.64412733972929,2002-04-01
"54",3.77565415503176,4.17948395872872,0.678764703375293,5.89455476989508,-2.72155144433626,5.9307935735151,1.45940731319501,1.0933,2.89011710510156,2002-07-01
"55",1.76560298615848,2.2355516061489,-0.877330435931299,6.11767098057203,-4.24382911392405,4.35002344116268,-0.532471516801482,1.1665,2.47662254697368,2002-10-01
"56",-1.23984072729951,-0.811209990560116,-3.9539877552042,2.54452813351753,-7.3066666666667,1.41830510388439,-4.40174285278458,0.47698,1.19827862573887,2003-01-01
"57",-1.29642300822908,-0.918966152842614,-4.11490609282251,0.279372737696008,-7.45940981632037,1.39956356591679,-3.96999386271306,-0.29616,-1.71102591978103,2003-04-01
"58",-1.71240043606974,-1.40568803553867,-4.7333524455027,-2.50501055316914,-8.07869526888041,0.94476092523405,-0.696884924459613,-1.0126,-2.11007212574574,2003-07-01
"59",-1.84678512649941,-1.61917902683132,-5.12163801650715,-2.38382682767261,-8.47581755593805,0.727741216968724,-1.15957431968857,-1.596,-2.43432987848565,2003-10-01
"60",1.04500489309228,1.28733319334512,-1.98317667256185,3.32187278318787,-5.32507002801123,3.86703146374828,1.60715238897873,-1.7069,-2.7146310916222,2004-01-01
"61",0.215638793391548,0.445412126324385,-2.70001743077262,5.62505639595418,-6.03822161422707,3.1839350912779,2.8392320432375,-1.5911,0.232879212734223,2004-04-01
"62",-0.771990451202072,-0.587730203808576,-3.75162690533497,6.71601143210214,-7.09887730553325,2.21223299555294,-1.25758122662808,-1.8357,0.252583634814251,2004-07-01
"63",-0.904733256755463,-0.770539737947729,-3.98370946378725,6.36197419100404,-7.34589864158829,2.06404494382022,-1.1918221490989,-1.7887,-0.807501481624996,2004-10-01
"64",-3.06918410068988,-3.05618712775276,-6.6547810979153,3.26435293739641,-10.0638151174668,-0.408435478379289,-2.0454281476338,-2.3593,-0.93953734830165,2005-01-01
"65",-1.29332741674492,-1.3417435396276,-5.10471062165834,3.24342708946921,-8.54913857677903,1.25766473227145,-1.77053698605268,-2.8855,-3.0397186607102,2005-04-01
"66",-1.92327404743489,-2.05089669116802,-6.08937368283316,1.29018657474123,-9.58493284493287,0.423003663003669,0.579089745121616,-3.0332,-2.072926533585,2005-07-01
"67",-3.42316713198184,-3.67630622601638,-8.23973015158276,1.70669959557691,-11.8174390826565,-1.49699304902668,-2.48241141054259,-3.3737,-2.54890071898339,2005-10-01
