"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"31",1.67677193521766,2.05636861713296,3.72502385479332,2.69010470338922,6.37876623376624,1.25257006151743,0.032986492454753,0.3874,1.50731172479036,1996-10-01
"32",1.19808022170717,1.57821502663586,3.66581862486791,4.35984514457797,6.16466165413533,0.772177210267046,-0.0317693276343574,-0.020878,2.13826397763124,1997-01-01
"33",1.26827880556569,1.65266616888408,4.1713745962487,7.79911442675939,6.52044767090139,0.849577040204238,0.0507655472183304,0.031094,2.05101485797268,1997-04-01
"34",0.896327019049878,1.27376654258507,4.17020565289954,9.67382507335077,6.3821157218001,0.462945645821165,0.012217426050909,-0.23251,2.60669125447875,1997-07-01
"35",1.0586032348271,1.43524704616794,4.72984645997413,11.1629721807432,6.80966101694916,0.623428730202818,0.0699800571191599,-0.0039575,2.62616144804824,1997-10-01
"36",0.285282924365546,0.636272191623448,4.21177921182269,9.84649889923429,6.1772131147541,-0.207847699629824,-0.0184437572582086,0.10587,3.02174444850536,1998-01-01
"37",0.140346177044052,0.461373591009092,4.28274642944984,7.86509101034753,6.14357482813325,-0.425020775100094,0.0278968268344769,0.41439,2.44487646817074,1998-04-01
"38",0.580950901614642,0.887420264930327,5.00493217042229,5.96089678571505,6.76482334869431,-0.0243711597542244,0.0833960028254766,0.62963,2.19823736148191,1998-07-01
"39",1.87953621718337,2.2157120422082,6.81422650294401,6.22909490698522,8.46979166666665,1.34242216117217,0.271159398863912,1.2527,2.34999723842289,1998-10-01
"40",-0.961661093453685,-0.688473634727131,3.97669871229715,10.6352213493478,5.55966346153846,-1.66492132867134,-0.261591873757291,1.5352,3.377843306017,1999-01-01
"41",0.385954329860255,0.640996166667279,5.54207717213673,11.5099463835128,7.05132867132869,-0.375985805239537,0.331245343254923,1.6187,2.14942333157996,1999-04-01
"42",0.655226120488919,0.90248255590248,6.0679908453854,10.3874469985031,7.5106739032112,-0.141220368744513,-0.110005586099241,1.8469,3.21436227600829,1999-07-01
"43",2.3747907709982,2.67276528047074,8.35182010661075,6.43179598687395,9.72897278314312,1.70477153872582,0.342413423837702,2.351,3.32823982420696,1999-10-01
"44",2.49723689673587,2.85165445981298,9.07991086697037,12.6724983300404,10.4017902813299,1.9784983558641,0.42764179262268,2.6996,4.20971394100793,2000-01-01
"45",2.85908270979223,3.2824657037317,10.1323067040611,10.548111449902,11.4094409937888,2.53858105152656,0.540884268095066,3.1721,5.4134695217401,2000-04-01
"46",1.24572858387782,1.6841641508469,8.93738731285734,8.74754572971734,10.1847887323944,0.976270959087856,0.0943214163822239,3.2824,5.5547467398714,2000-07-01
"47",4.56487096820982,5.12656872377548,13.2767402659726,10.8104234232818,14.5037558685446,4.6802623962956,1.32569337730979,3.6679,4.56860013267916,2000-10-01
"48",3.27897042419522,3.92021396808377,12.8208818404009,8.81577204985845,14.0433789954338,3.6692582993953,1.29379690053814,3.952,7.51531238695804,2001-01-01
"49",1.93783757508001,2.61100950894615,12.0866667439918,5.11551633313672,13.3186227323214,2.47155868196964,0.0451047556226649,3.9638,6.62951580034373,2001-04-01
"50",0.98224971050206,1.65155026921113,11.5630968982076,2.76570119166516,12.8168648648649,1.55475960170699,0.0412917369965497,4.0771,5.25848921788824,2001-07-01
"51",-0.683033371611629,-0.0768421441152611,10.010581621898,-1.36964976679658,11.294350877193,-0.262370471633574,-0.159462688503892,4.0844,4.38293813089497,2001-10-01
"52",-1.83917704959788,-1.33792696877987,8.71667671898891,-1.9513006185195,10.0362269309638,-1.71935301540563,-0.288076957503614,3.8456,2.69155227579069,2002-01-01
"53",-0.963561649565548,-0.540240096943137,9.55979563652784,-2.0645479759622,10.9267732267732,-1.07396021699819,0.198467335422637,3.8699,1.78447441613215,2002-04-01
"54",-1.4411836381569,-1.11134435937288,8.92415714158031,-2.18004904213259,10.3444336254463,-1.85279941577409,0.194801020945557,3.931,2.34316773395829,2002-07-01
"55",-1.87074530912068,-1.6471958994818,8.21504721336456,-3.84958443600718,9.69272151898733,-2.65107829348335,-0.0213413830393766,3.9552,1.94433797054613,2002-10-01
"56",-2.09239474936092,-1.97985174710931,7.62663330415495,-2.6023562369752,9.16509259259257,-3.28595189701895,-0.0148640479151674,3.78,1.29708042591843,2003-01-01
"57",-1.8230980245576,-1.80878476670995,7.53133292730305,-2.65898550140753,9.1360433604336,-3.41532743439882,0.0896901352344849,3.8175,1.16750253447744,2003-04-01
"58",-2.44644706229101,-2.54601496530412,6.38984852472058,-4.9934075686364,8.05838965618571,-4.5243839469376,-0.0531238467480794,3.7329,1.20117932704924,2003-07-01
"59",-3.44970503327201,-3.6908353982142,4.63928476054886,-10.140774262855,6.36256454388985,-6.15037966994024,-0.309972137330408,3.5633,0.252629792767098,2003-10-01
"60",-5.77353003590153,-6.2270267360968,1.0867694780095,-5.77847782030631,2.83784313725491,-9.40359390267733,-0.947365895519896,3.089,-1.50167014518002,2004-01-01
"61",-6.14318789627501,-6.81434794427338,-0.66607370167236,-9.88857477388297,1.09671682626538,-10.7856313977074,-1.24580450472173,2.6641,-2.8658581944445,2004-04-01
"62",-6.14150172947888,-7.02118436820078,-2.13294569284227,-10.942157058536,-0.37425821972738,-11.8302617190348,-0.814149063056612,2.3128,-4.31961601035359,2004-07-01
"63",-6.24270647165071,-7.32330119616734,-3.79988519537332,-18.2820245843871,-2.06509926854753,-13.0189285336903,-0.921115115388458,1.9652,-5.02318750045426,2004-10-01
"64",-6.10412697680971,-7.36872514731181,-5.27526861560469,-18.6976194395808,-3.58432073544435,-13.9738934286687,-1.08440066520263,1.661,-6.83959623815675,2005-01-01
"65",-4.41789667814933,-5.79728524827891,-4.96030140761866,-18.3831637792445,-3.31505617977527,-13.179969543565,-0.419798152361499,1.4237,-7.26213364292181,2005-04-01
"66",-3.69059692975384,-5.14652461462421,-5.50570869363344,-14.8786957478654,-3.91741147741149,-13.2477400860009,-0.0293966479909573,1.2494,-6.53975487437951,2005-07-01
"67",-3.26649924147947,-4.77142347552785,-6.29641020648529,-19.0949871878437,-4.77981366459628,-13.5521847016938,-0.45833468789538,1.1579,-5.97992152097315,2005-10-01
"68",-2.13494182616583,-3.63909679003535,-6.18341331442173,-16.9342290838938,-4.74270687237029,-12.9828369789024,-0.285347074220302,0.93579,-6.72544195257579,2006-01-01
"69",-1.26254750903334,-2.72607534476523,-6.16162406509761,-15.0009595278505,-4.80185312285519,-12.529039482715,0.0228307903614994,1.1065,-6.00453585995691,2006-04-01
"70",-1.09650633987872,-2.50489991621106,-6.79326829098409,-12.9729370213269,-5.52812989921611,-12.7259182530795,-0.230097420462541,1.23,-5.40052801364203,2006-07-01
"71",-1.97853258187101,-3.35438114951108,-8.60881629325101,-10.5505717412664,-7.4692105263158,-14.059376017363,-0.916844435773199,0.99373,-5.31276309859992,2006-10-01
"72",-3.19904768430683,-4.57850129064173,-10.9735415109725,-9.62799984992836,-10.0003436426117,-15.8785477593099,-1.90751555875868,0.49844,-5.96350711303434,2007-01-01
"73",-2.82416283459122,-4.1920781517633,-11.6795741717953,-11.9799418237701,-10.8915632232275,-16.0415609917819,-1.74691360040912,0.063711,-7.15207332505481,2007-04-01
"74",-3.10089025985499,-4.46411033843032,-13.0852835450804,-13.5903181616202,-12.5125541125541,-16.8824242424242,-1.34170114378944,-0.22528,-7.67000572528085,2007-07-01
"75",-2.05363869688273,-3.37581204646142,-12.9760393088732,-12.8315287704733,-12.626202020202,-16.2412145214522,-1.17121792823945,-0.50745,-8.42006002477127,2007-10-01
"76",-1.96995893975006,-3.246869612708,-13.7981329218368,-10.8954504227353,-13.6934653465347,-16.5309056493885,-0.757808248444683,-0.48652,-7.99196581423482,2008-01-01
"77",-1.05958358686678,-2.26055744854813,-13.6087502945865,-11.3511729365977,-13.7554455445544,-15.8425018801138,-0.919887077033112,-0.53907,-7.88964519134241,2008-04-01
"78",0.0116726188917085,-1.07803887736324,-13.0306871979573,-9.07997961341641,-13.4278697886922,-14.8091519131925,-0.150007597414463,-0.69695,-7.60324706156989,2008-07-01
"79",2.14693088129474,1.23804085334609,-10.9517207458171,-3.36004846057523,-11.5715646004481,-12.3623546356556,0.737272761476717,-0.42086,-6.57232741811128,2008-10-01
"80",3.56612655830008,2.88265868668927,-9.25321758551948,5.83160540723861,-10.0721428571429,-10.3654509641302,1.57119954946514,-0.1898,-4.20321836937616,2009-01-01
"81",4.70092482012021,4.27577696012676,-7.53885582361212,7.90575543980634,-8.53097933513027,-8.41741995616798,1.49537199191461,-0.10269,-1.68844238574331,2009-04-01
"82",4.4637759955632,4.28174092823511,-7.13556905534026,6.77836536340332,-8.29728442955386,-7.80274593937969,0.963967693221508,0.035046,-0.44809303051163,2009-07-01
"83",4.49418799978366,4.54599758967561,-6.36524751714811,5.66176275549452,-7.68551401869158,-6.85204016500424,0.335824152969435,0.2083,-0.531861283474938,2009-10-01
"84",2.89909933786529,3.11954262023883,-7.42335997192663,4.74916618148504,-8.92538226299695,-7.70894032063757,-0.231964920641279,0.075852,-0.491799119637102,2010-01-01
"85",2.35855611470322,2.71555535920803,-7.46688451307773,1.23039762246628,-9.15507923269394,-7.55912314315984,-0.957603703956807,0.076417,-1.49604385514878,2010-04-01
"86",1.31409096302104,1.75867052634212,-8.1582691184322,-0.792345773328123,-10.0499262899263,-8.04806160056165,-0.656445683499987,0.058766,-2.23944244016531,2010-07-01
"87",-0.509606508587922,-0.0519669430264003,-9.93367537460975,-2.58448314383782,-12.0686776061776,-9.58594748351388,-1.68404423498009,-0.15736,-3.03335133178708,2010-10-01
