"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle"
"38",4.57153258913594,5.64508872196976,-1.1395410369079,4.15472322071292,5.08601753706941,9.06113360323887,3.33714574898785,4.15472322071292,1.2386,4.58760258772993
"39",3.9836151955347,5.17813803959476,-0.651504882810116,4.93554318421648,4.93281007035159,9.13269230769231,2.71378986866792,4.93554318421648,1.3345,3.83480610028881
"40",3.58445167698336,4.87173431114827,-0.000117439320774793,2.45514451092265,4.97248980903336,9.36695121951219,2.29142857142857,2.45514451092265,1.3137,3.75752651019165
"41",1.82616553824522,3.13373143672034,-0.991347969036269,2.30255413787967,3.61376089504558,8.02822299651568,0.512827161494187,2.30255413787967,1.0307,3.22868167548512
"42",2.13847083764708,3.46331652315403,0.152801379658939,1.39415011335831,4.31442449196702,8.80143964562569,0.798293566898224,1.39415011335831,0.90037,2.08747159380305
"43",3.05983974482913,4.42141424855417,2.08485955196866,2.28847332670137,5.61759531479753,10.3150105708245,1.69929527836507,2.28847332670137,1.012,2.30856901030818
"44",2.44891602937975,3.81787913631808,2.39554125173626,6.41084150585659,5.36286567617615,10.2257575757576,1.06044137022397,6.41084150585659,1.0379,3.2929796561816
"45",3.02499777825034,4.41236263120976,4.00893299263879,7.78779607427499,6.30217494483287,11.4139130434783,1.61937095282147,7.78779607427499,1.161,3.67993639838877
"46",2.21875958699439,3.59124827393825,4.10995530122199,5.52763311637508,5.83488868074252,11.1177613320999,0.777277983348739,5.52763311637508,1.5962,4.49270265537795
"47",3.60317560174289,5.00091237049378,6.65686669660403,9.64541501665806,7.58399876928039,13.2218085106383,2.16525184541902,9.64541501665806,2.2591,3.76659377520841
"48",3.75000877955077,5.17369825555511,8.01437346268196,13.022609400912,8.09910937499314,14.1335034013605,2.32698979591837,13.022609400912,2.6295,5.68553234746278
"49",0.825628050246308,2.174587488528,5.78772689830637,7.47367632492845,5.48874081297533,11.5544489795918,-0.690352941176428,7.47367632492845,2.3193,6.80956604238086
"50",0.308015570427699,1.56108223291119,5.84816840972852,1.94707565474931,5.25862021516631,11.288,-1.3357556561086,1.94707565474931,1.6283,3.86784218308538
"51",-1.87144788670562,-0.788605555560196,3.81668043759404,-1.67279096203928,3.2725503745455,9.00090497737554,-3.75744045078119,-1.67279096203928,0.78028,2.56605871162228
"52",-2.85247470427589,-1.97287513325452,2.74123086080468,-0.57130950146115,2.40210818117072,7.71095791001451,-5.05256813417191,-0.57130950146115,0.027982,0.279891719417801
"53",-0.615047391132009,0.137701325705308,5.21797543794247,-0.740401098397892,4.725007453504,9.93878406708595,-3.03207547169814,-0.740401098397892,-0.41756,-0.300442892979762
