"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"30",1.73439824003241,1.35445727495838,-9.90596435972037,0.227372499904574,0.105911033628411,2.29290322580646,1.69854838709678,0.227372499904574,0.098874,0.814862100436812,1996-07-01
"31",2.89417215582534,2.70716474856954,-8.43436305657026,0.567733706225274,1.3946993737739,3.71129032258065,2.60865102639295,0.567733706225274,-0.20849,-0.139223918601871,1996-10-01
"32",2.23770985886352,2.21021536912309,-8.826334369295,0.159373561807229,0.882894209576194,3.28011363636364,1.79239639037432,0.159373561807229,-0.38319,0.745677349811342,1997-01-01
"33",3.26177341557684,3.4149712718804,-7.29272136933668,0.958252437255325,2.10510604089759,4.66131907308379,2.63521772345301,0.958252437255325,-0.71754,0.262935510976437,1997-04-01
"34",3.4479339048044,3.77520603611386,-6.4935043762631,0.91611789508158,2.52120145028564,5.25798319327733,2.67044817927169,0.91611789508158,-0.9388,1.22544734253093,1997-07-01
"35",5.11857499147854,5.66197706808293,-3.83748188462614,3.62412700634023,4.4941008285158,7.56190476190477,4.16229086229086,3.62412700634023,-1.065,1.44571470346373,1997-10-01
"36",4.2611897661558,4.97894629672507,-3.77861991388259,3.13506374936857,3.96305769955217,7.28603603603602,3.19612375533428,3.13506374936857,-1.1686,3.41958873542796,1998-01-01
"37",5.47911797774448,6.39703966728608,-1.35397541766449,6.16278683781036,5.57877387601957,9.26884779516358,4.30523033154613,6.16278683781036,-1.1447,2.97159725184909,1998-04-01
"38",4.57153258913594,5.64508872196976,-1.1395410369079,4.15472322071292,5.08601753706941,9.06113360323887,3.33714574898785,4.15472322071292,-1.0528,4.79379524026591,1998-07-01
"39",3.9836151955347,5.17813803959476,-0.651504882810116,4.93554318421648,4.93281007035159,9.13269230769231,2.71378986866792,4.93554318421648,-0.88526,3.91675311391529,1998-10-01
"40",3.58445167698336,4.87173431114827,-0.000117439320774793,2.45514451092265,4.97248980903336,9.36695121951219,2.29142857142857,2.45514451092265,-0.74389,3.98539105690861,1999-01-01
"41",1.82616553824522,3.13373143672034,-0.991347969036269,2.30255413787967,3.61376089504558,8.02822299651568,0.512827161494187,2.30255413787967,-0.56769,3.25064057224029,1999-04-01
"42",2.13847083764708,3.46331652315403,0.152801379658939,1.39415011335831,4.31442449196702,8.80143964562569,0.798293566898224,1.39415011335831,-0.38378,2.25594479413233,1999-07-01
"43",3.05983974482913,4.42141424855417,2.08485955196866,2.28847332670137,5.61759531479753,10.3150105708245,1.69929527836507,2.28847332670137,-0.32306,2.37133784603336,1999-10-01
"44",2.44891602937975,3.81787913631808,2.39554125173626,6.41084150585659,5.36286567617615,10.2257575757576,1.06044137022397,6.41084150585659,-0.16506,3.3787707153015,2000-01-01
"45",3.02499777825034,4.41236263120976,4.00893299263879,7.78779607427499,6.30217494483287,11.4139130434783,1.61937095282147,7.78779607427499,0.056308,4.28111675461223,2000-04-01
"46",2.21875958699439,3.59124827393825,4.10995530122199,5.52763311637508,5.83488868074252,11.1177613320999,0.777277983348739,5.52763311637508,0.23509,5.2165558584868,2000-07-01
"47",3.60317560174289,5.00091237049378,6.65686669660403,9.64541501665806,7.58399876928039,13.2218085106383,2.16525184541902,9.64541501665806,0.42596,4.26300058889722,2000-10-01
"48",3.75000877955077,5.17369825555511,8.01437346268196,13.022609400912,8.09910937499314,14.1335034013605,2.32698979591837,13.022609400912,0.68725,6.54073951996565,2001-01-01
"49",0.825628050246308,2.174587488528,5.78772689830637,7.47367632492845,5.48874081297533,11.5544489795918,-0.690352941176428,7.47367632492845,0.89848,7.71541693698204,2001-04-01
"50",0.308015570427699,1.56108223291119,5.84816840972852,1.94707565474931,5.25862021516631,11.288,-1.3357556561086,1.94707565474931,1.053,4.50727550255274,2001-07-01
"51",-1.87144788670562,-0.788605555560196,3.81668043759404,-1.67279096203928,3.2725503745455,9.00090497737554,-3.75744045078119,-1.67279096203928,1.28,2.8341965526774,2001-10-01
"52",-2.85247470427589,-1.97287513325452,2.74123086080468,-0.57130950146115,2.40210818117072,7.71095791001451,-5.05256813417191,-0.57130950146115,1.4155,0.521359474039984,2002-01-01
"53",-0.615047391132009,0.137701325705308,5.21797543794247,-0.740401098397892,4.725007453504,9.93878406708595,-3.03207547169814,-0.740401098397892,1.4532,0.148951570732864,2002-04-01
"54",0.707731797637138,1.38306143812235,6.98402200756755,3.06415039975643,6.11339106821918,11.4426262626263,-1.85502886002885,3.06415039975643,1.3038,1.57728921945586,2002-07-01
"55",-0.169265548930184,0.406450085152301,6.37401588884819,5.74346592613409,5.27309151583418,10.6024675324676,-2.92535201640467,5.74346592613409,1.2024,3.4112297477009,2002-10-01
"56",-0.706703295438359,-0.241728041358584,5.97664271190536,2.80698659046696,4.75690202197146,10.0001879699248,-3.69000194451647,2.80698659046696,1.3746,3.5163512080033,2003-01-01
"57",0.558274262098507,0.961400037690254,7.57693692259761,1.41364454785564,6.05738075425638,11.3894736842105,-2.56981451290414,1.41364454785564,1.4445,2.41749787199289,2003-04-01
"58",0.357907979487749,0.70024966773812,7.66009820487793,2.68085587784071,5.88228671730904,11.279544126242,-2.92174167153709,2.68085587784071,1.5653,2.89601532309303,2003-07-01
"59",1.94850245003474,2.29000343650122,9.80658456196537,5.49870179109293,7.54053103308098,13.2250847457627,-1.36180050013891,5.49870179109293,1.7932,3.10756795770476,2003-10-01
"60",0.938096024357719,1.25241610874485,9.17374830142239,3.86594794716892,6.59129912523343,12.4189617486339,-2.46363564251718,3.86594794716892,2.3317,4.95847267716081,2004-01-01
"61",1.38847377430167,1.69615421730117,10.0739049028501,4.94746928129919,7.1323713745659,13.1554732945532,-2.06251416484099,4.94746928129919,2.6136,3.99665965273326,2004-04-01
"62",0.91804525986521,1.20857194079238,9.96404006774634,2.47763794114976,6.75197239798468,12.9018433179724,-2.61075748847927,2.47763794114976,2.4772,4.66777660678707,2004-07-01
"63",1.64066443175565,1.94212057181537,11.1682883276785,4.29558824836468,7.58961303136933,13.9707341269841,-1.90057234432234,4.29558824836468,2.0154,3.75256519144204,2004-10-01
"64",0.98251854341791,1.27685326789029,10.8715497114957,3.70151227835861,7.04007510673398,13.5592307692307,-2.6178671328671,3.70151227835861,1.4607,4.72330654197163,2005-01-01
"65",3.07257025859357,3.43179709232473,13.6938233549288,6.29658655907689,9.2953371375496,16.2676923076923,-0.39906481578123,6.29658655907689,0.97702,4.14093331767684,2005-04-01
"66",2.9159919172748,3.33764109985344,14.2610128786255,7.34611632256916,9.31998407998427,16.7386702849389,-0.423573309920982,7.34611632256916,0.78646,6.25406791792883,2005-07-01
"67",3.44513485662475,3.94783956155015,15.6260313075683,11.5235361722446,10.0762459346102,18.0222563652326,0.300236668320792,11.5235361722446,0.69845,6.58365735273421,2005-10-01
"68",1.95242541166411,2.48666075901568,14.7181758060661,6.22223910633978,8.80636269778722,17.0566496163683,-1.12418706613082,6.22223910633978,0.45636,8.21652914043037,2006-01-01
"69",2.95388834694614,3.55118613843217,16.4842048843409,6.70735644588538,10.069785318482,18.779917184265,0.0447554894584812,6.70735644588538,0.048538,5.97819427234456,2006-04-01
"70",2.96897427759205,3.62815088324461,17.2775306596835,6.75452869484289,10.3555936303663,19.5495774647887,0.237437961099943,6.75452869484289,-0.25142,6.88308235537534,2006-07-01
"71",2.27511440386769,2.9707671017639,17.2446677531174,10.2100594000131,9.93230891462711,19.5132629107981,-0.341751881149918,10.2100594000131,-0.89211,7.06965880090653,2006-10-01
"72",0.63028010019471,1.3047936630106,15.9582029501969,5.81902897481532,8.5262880782055,18.2422374429224,-2.04042792792794,5.81902897481532,-1.434,7.66045753203123,2007-01-01
"73",0.820182140409287,1.47643559740871,16.5136547844687,3.80080567005096,8.94325100791544,18.8306923361718,-1.89604590892259,3.80080567005096,-1.6045,5.47503007096519,2007-04-01
"74",1.75310848190645,2.41964322710166,17.9586524689001,4.77273622624675,10.0987167255595,20.3282162162162,-0.917743954480784,4.77273622624675,-1.3295,5.12505606011784,2007-07-01
"75",1.02074476644117,1.67183638667208,17.595465558833,8.75390923029287,9.56086400887949,20.0344210526316,-1.68471086807926,8.75390923029287,-1.009,6.124182908713,2007-10-01
"76",-0.0672217387629246,0.530889279345729,16.6579154130958,7.1743017871397,8.63485064772402,19.1799043062201,-2.93335743204165,7.1743017871397,-0.83124,6.85575742170439,2008-01-01
