"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"30",-4.33428688390296,-5.92499047949866,-13.3587692554608,0.249450329807565,-3.21649019672234,-6.59462365591401,-1.30967741935484,0.249450329807565,3.9914,-3.3619537685332,1996-07-01
"31",-2.64983777261256,-4.20851850492033,-12.9273145332833,0.43453974751952,-1.94768471390065,-5.33366935483872,0.278958944281527,0.43453974751952,4.5153,-3.31574711121364,1996-10-01
"32",-4.60164773414377,-6.18993256005825,-16.4697278768264,-0.703443716121566,-4.35736818801598,-7.91193181818184,-1.63101604278071,-0.703443716121566,5.0461,-2.42177249878242,1997-01-01
"33",-4.30037355963299,-5.9066869188448,-17.7133439231483,0.00937744045957209,-4.50694565796439,-8.23226381461672,-1.3136745607334,0.00937744045957209,5.1193,-4.20018531926878,1997-04-01
"34",-3.48372968235051,-5.07917227904125,-18.2944892043728,-0.0928786984661869,-4.13707579971389,-7.97025210084033,-0.521232492997171,-0.0928786984661869,4.7086,-4.14436487753569,1997-07-01
"35",0.0450559246796729,-1.42063003744249,-15.5072330117418,0.448193283092081,-0.974371141207797,-4.60761904761907,2.86007722007724,0.448193283092081,4.3259,-3.71725014411928,1997-10-01
"36",-1.85160382209571,-3.24836688823987,-18.4257599773047,-0.543990829071189,-3.24268927252179,-6.86756756756759,0.91420104314841,-0.543990829071189,4.1633,-1.54306456514796,1998-01-01
"37",-1.24793410345251,-2.55662542940107,-18.6984967691644,-0.167071488185901,-2.9506447369361,-6.55305832147937,1.47024838603787,-0.167071488185901,3.9238,-3.22223622475014,1998-04-01
"38",0.381782157150013,-0.786552335244068,-17.6041443950057,0.488604362593795,-1.56898603132203,-5.00323886639674,3.04372469635629,0.488604362593795,3.4286,-2.87501981234335,1998-07-01
"39",-2.72082607526798,-3.85419578702835,-21.7415839173673,-0.806391134134099,-4.95094648701151,-8.55705128205128,-0.0553470919324184,-0.806391134134099,3.0839,-1.8759405632532,1998-10-01
"40",-4.2609804220121,-5.41539946125815,-24.5793222770074,-0.573113803840232,-6.78706080410729,-10.7640243902439,-1.58815331010453,-0.573113803840232,2.9788,-4.44884497514538,1999-01-01
"41",-4.27778065751443,-5.45868859956977,-25.9005359239049,-0.861987366825975,-7.12711866869707,-11.4825783972125,-1.61170083461633,-0.861987366825975,2.7368,-5.67606065536028,1999-04-01
"42",-2.91648062054273,-4.0823657993389,-25.5971298158304,-0.246378487590959,-6.09321431281911,-10.6694352159468,-0.259136212624611,-0.246378487590959,2.3087,-5.95806160872806,1999-07-01
"43",0.795214169675404,-0.234862618060163,-22.2460443055903,0.416518762640948,-2.63873417236804,-7.00560253699788,3.48907681465823,0.416518762640948,1.9069,-4.90169631122448,1999-10-01
"44",-0.652210666983734,-1.59582822203237,-24.2431044289041,-0.483033113321484,-4.34374694886674,-8.67333333333335,2.07966403162055,-0.483033113321484,1.7537,-2.54549800170738,2000-01-01
"45",-2.75409920390541,-3.68455227093023,-27.2278742788658,-0.430176308675943,-6.70489400627441,-11.2860869565217,-0.018803576934971,-0.430176308675943,1.335,-3.8299027435136,2000-04-01
"46",-1.73471432252546,-2.62297531615368,-26.8879765428244,0.253952230151222,-5.91525455881772,-10.6462534690102,1.02580943570763,0.253952230151222,0.98088,-5.4026221942002,2000-07-01
"47",-1.68044129680308,-2.52859458473009,-27.470559214833,-0.337060473832719,-6.09455845134296,-10.9672872340425,1.10927051671732,-0.337060473832719,0.81235,-4.769451637121,2000-10-01
"48",-2.39893410835828,-3.23462554253351,-28.9242431629659,-0.403877886995637,-7.05775397077317,-12.1722789115646,0.396913265306125,-0.403877886995637,1.0559,-5.04208320385758,2001-01-01
"49",-2.91970557930338,-3.76409374514202,-30.2538473601233,-0.531905987511086,-7.83699551638273,-13.2719183673469,-0.140921968787495,-0.531905987511086,0.99307,-5.68040121852423,2001-04-01
"50",-1.35210410734794,-2.15669147720686,-29.1954615640693,-0.0896565748025901,-6.50388967974562,-12.0621176470588,1.47114027149323,-0.0896565748025901,0.78015,-6.16495428641915,2001-07-01
"51",0.650828013503514,-0.0499435863894462,-27.2993135636098,0.0611258705839468,-4.68906234440274,-10.1039215686275,3.6165030308205,0.0611258705839468,0.81364,-5.05844406134462,2001-10-01
"52",1.11829045587805,0.534616182631765,-26.7883021502167,-0.05546099976467,-4.36622605872759,-9.5801161103048,4.26511046605387,-0.05546099976467,0.48383,-3.71222970320863,2002-01-01
"53",0.98733708957451,0.512992831135051,-26.8311947703704,-0.0335858174827201,-4.59592739029798,-9.6440251572327,4.32273680198207,-0.0335858174827201,-0.22505,-3.47201286980652,2002-04-01
"54",-0.0188107833789672,-0.421912187988426,-27.8702537872599,-0.312686353480993,-5.6817088548829,-10.7175757575758,3.45789321789323,-0.312686353480993,-0.86627,-3.59931106055346,2002-07-01
"55",1.65552676780842,1.37332611971991,-25.8792113052934,0.290694283411989,-4.02390408549245,-8.8275974025974,5.37614490772384,0.290694283411989,-1.1471,-4.47503036915813,2002-10-01
"56",0.398839569898939,0.190290794962976,-26.9821919092023,-0.526728640592268,-5.30074584247159,-10.040977443609,4.29369004407567,-0.526728640592268,-0.83988,-3.19640992396773,2003-01-01
"57",-1.17433707776883,-1.36814007779103,-28.6449955415677,-0.359470519741375,-6.90642745805455,-11.8174833635813,2.78978436740593,-0.359470519741375,-0.734,-4.0870952770785,2003-04-01
"58",-1.68625412287531,-1.88926326402353,-29.3219893100182,-0.529105179354196,-7.46912911331493,-12.6281706604325,2.30108123904154,-0.529105179354196,-1.1597,-5.08534586195636,2003-07-01
"59",-0.299034014748997,-0.471264682891558,-27.8372188316412,-0.127676029581379,-6.12446594795637,-11.3235593220339,3.79962767435396,-0.127676029581379,-1.4492,-5.5544339544876,2003-10-01
"60",-1.50173222300003,-1.68748886654996,-29.1321869243434,-0.766238094104354,-7.40920389778515,-12.8090163934426,2.6153886832364,-0.766238094104354,-1.6401,-4.57522270591217,2004-01-01
"61",-2.10987624284905,-2.33364098318174,-29.9333745955619,-0.376218728403342,-8.12132448393128,-13.8182443151771,1.96835133842009,-0.376218728403342,-1.9228,-5.55616509961475,2004-04-01
"62",-1.74944755268584,-2.0026629135611,-29.6994042031051,-0.675494934229574,-7.87930651869264,-13.8198156682028,2.30645641321044,-0.675494934229574,-2.3056,-5.96085630969507,2004-07-01
"63",0.0167989758688805,-0.209374406840482,-27.7310553141418,-0.0980179469567277,-6.2108657532065,-12.1260416666667,4.18871336996341,-0.0980179469567277,-2.4155,-5.87777131921937,2004-10-01
"64",1.42843828496137,1.27524766013028,-25.8277651225604,0.0352148218473585,-4.86106881982431,-10.5298557692308,5.84103583916084,0.0352148218473585,-2.1974,-4.55126884367788,2005-01-01
"65",0.526425347863409,0.415447178503257,-26.3521094376314,-0.23250307582443,-5.81439921547469,-11.3744055944056,5.11229725498379,-0.23250307582443,-1.9588,-3.45123103516785,2005-04-01
"66",2.19188093693228,2.17622939887048,-23.9713915477072,0.446601965985643,-4.13125284235881,-9.34151967435551,7.10470508420465,0.446601965985643,-1.8163,-4.09287644317664,2005-07-01
"67",3.23449102096723,3.34663807007124,-21.9676626882399,-0.00353546731537934,-3.0149995089336,-7.70570676031605,8.58384929572088,-0.00353546731537934,-1.852,-2.68017995851751,2005-10-01
"68",3.11631074187264,3.34926207455109,-21.0796056656513,0.187585261336884,-3.01188077579795,-7.19744245524296,8.90809280233836,0.187585261336884,-1.7033,-1.89496717505763,2006-01-01
"69",2.55245176314631,2.88288669422332,-20.6803724950285,0.0404014920168981,-3.41842547843261,-7.18666666666664,8.74445630303555,0.0404014920168981,-1.6567,-1.66368895613948,2006-04-01
"70",3.4836223142195,3.93654561007239,-18.5696709093132,0.281955830653359,-2.27468293316554,-5.47428571428571,10.173199195171,0.281955830653359,-1.8921,-1.88559395161625,2006-07-01
"71",3.67050547880328,4.24592309338183,-17.113074487025,0.0537583329722042,-1.84025714974549,-4.4211267605634,10.8861277252556,0.0537583329722042,-2.159,-0.975371891321934,2006-10-01
"72",3.09830657691637,3.77024777350084,-16.4660937618692,0.143643498597881,-2.1433078053515,-4.18006088280057,10.7890657781068,0.143643498597881,-2.1873,-0.6242549187445,2007-01-01
"73",0.65294447918933,1.33255554611625,-18.0978955924689,-0.43877109769283,-4.35200642745566,-6.22154757497222,8.56358385783042,-0.43877109769283,-2.3021,-0.60373541127761,2007-04-01
"74",1.72130612962513,2.43562898268922,-16.0204965795592,0.304800965968573,-3.02996578654997,-4.55394594594594,9.94716358463728,0.304800965968573,-2.5716,-2.22389668009346,2007-07-01
"75",2.93664691742251,3.71925750126078,-13.5594748004526,0.0452016605790476,-1.5513446300608,-2.49807017543861,11.6002734107998,0.0452016605790476,-2.7387,-1.17190980669963,2007-10-01
"76",2.56349091316579,3.39624174585143,-12.7247145819989,0.111956418140266,-1.66413198059366,-2.06486671223513,11.6235961407014,0.111956418140266,-2.6205,-0.178604174298569,2008-01-01
"77",3.16720474275044,4.06422541219732,-10.7817083902241,0.502030885324566,-0.773616118144081,-0.514185814185822,12.6870053996636,0.502030885324566,-2.3338,-0.128769715459861,2008-04-01
"78",3.49909941106816,4.46590970000406,-9.02295135174043,0.254976239998213,-0.134987213810338,0.863680623174304,13.515847127556,0.254976239998213,-2.2871,0.695489167231877,2008-07-01
"79",6.56421314472723,7.69695836564313,-3.94346938501633,1.28457178806536,3.32696266023836,5.59395569620253,17.4322175339897,1.28457178806536,-2.1161,1.14414225069884,2008-10-01
"80",6.94920496099945,8.25564210267603,-1.40450139349883,0.841306079466141,4.16421345045551,7.80814814814815,18.7371962511291,0.841306079466141,-1.8041,3.88264126763185,2009-01-01
"81",7.02170498669634,8.49750490044093,0.903209139106195,2.14756648173284,4.75975000614664,9.81749473050289,19.7601016532253,2.14756648173284,-1.5821,4.60130074989685,2009-04-01
"82",7.00265356312383,8.63886753334049,3.17782723677243,1.64258977545942,5.32336276262069,11.8229209521011,20.7066894756727,1.64258977545942,-1.5272,5.57980819044317,2009-07-01
"83",6.27128272656552,8.03412584330658,4.66142930234071,1.50878637142071,5.2066401258157,13.0631669535284,20.8649691201782,1.50878637142071,-1.3554,6.05145008124172,2009-10-01
"84",3.14808011050835,4.92352015375928,3.22081336072267,0.477554118948498,2.65780266455917,11.3820728291317,18.2499706859488,0.477554118948498,-1.18,6.21655054716753,2010-01-01
"85",0.580886448533931,2.27265388299753,1.85404720331425,0.0465599110490835,0.595749842503127,9.77559507523941,15.8448530591066,0.0465599110490835,-1.1705,4.46354328807224,2010-04-01
"86",-1.88414696955164,-0.367480528592267,0.0865399315920001,-1.11333744172517,-1.4815537445812,7.7627906976744,13.1840745060873,-1.11333744172517,-1.5102,3.03701083327064,2010-07-01
"87",-3.17313143579008,-1.88122298157523,-0.828180316071013,-0.964561284050576,-2.50761915182097,6.60276907001045,11.4703708921841,-0.964561284050576,-1.6661,1.26432517965694,2010-10-01
"88",-3.65300708484304,-2.6047047538045,-1.12441360743318,-0.953553735059746,-2.8468421307276,6.06608784473954,10.4344313925775,-0.953553735059746,-1.4683,0.473269470186208,2011-01-01
"89",-3.23548596567869,-2.41569262773478,-0.551942398375729,-0.365610868826873,-2.38495722620964,6.4118352059925,10.2838687903856,-0.365610868826873,-1.2932,0.127817300436656,2011-04-01
"90",-2.10987938446198,-1.47615184351164,0.840839769527832,0.11465121458982,-1.27496242967348,7.60156288156287,10.9342060837713,0.11465121458982,-1.029,0.474662521359734,2011-07-01
"91",-1.56258015815658,-1.08862455614488,1.68349915282323,0.34730084367042,-0.786025586350105,8.25965121834687,11.0407225313256,0.34730084367042,-0.61785,1.29084209188839,2011-10-01
"92",-2.20933829027044,-1.90680280045692,1.1540544364334,0.302607923844811,-1.53585724100354,7.54754558204769,9.83839410939692,0.302607923844811,0.15803,1.72180645022486,2012-01-01
"93",-4.27588751009975,-4.20280909149508,-1.23881944991305,-0.373269495315002,-3.77875503550714,4.94850148707388,6.90655998266087,-0.373269495315002,0.98145,1.33825538973298,2012-04-01
"94",-2.55467941303715,-2.64308385392303,0.376842599668464,0.0503025625283445,-2.23894141982084,6.38548712206048,7.94977883538633,0.0503025625283445,1.6974,-0.258053243407644,2012-07-01
"95",-0.961677031076647,-1.14580154093417,2.09262216052417,-0.446228030874615,-0.829578912263833,7.95322368421051,9.05917525773197,-0.446228030874615,2.1916,0.865835981416601,2012-10-01
"96",-0.546053065086085,-0.798658557284995,2.67150717046712,0.591310354431637,-0.589329876048095,8.40006443298969,9.04358563012832,0.591310354431637,2.5064,1.73554202346566,2013-01-01
"97",-1.40074487737593,-1.73759703792777,1.79666353259759,0.293744385748145,-1.62216775509387,7.38790237744581,7.63879654954764,0.293744385748145,2.3326,2.25794807990015,2013-04-01
"98",-1.17332405483489,-1.57573875972051,2.0067443924143,0.188378120848397,-1.55780196804329,7.47068645640073,7.3405194805195,0.188378120848397,1.79,1.52542025311345,2013-07-01
"99",-0.725453554731445,-1.16812616782283,2.48584415935656,-0.206764185762568,-1.26028826601776,7.83672727272727,7.32246984698472,-0.206764185762568,1.0524,1.48393586127795,2013-10-01
"100",-1.23057843860067,-1.72061414517196,1.89508054490798,-0.106782378030133,-1.91954380865247,7.13013861386139,6.28148980780432,-0.106782378030133,0.35582,1.51004624973822,2014-01-01
"101",-2.08655666005259,-2.64395021491362,0.766527209378808,-0.147704969014656,-2.94377411917046,5.87315084449622,4.76411555490213,-0.147704969014656,-0.16526,1.03533267663773,2014-04-01
"102",-1.1253349553561,-1.71082091612266,1.58913646388149,-0.0429134524702622,-2.13612260356473,6.5863316200267,5.19263717436186,-0.0429134524702622,-0.4349,0.263940655209083,2014-07-01
"103",-0.0919045942605692,-0.66394367944784,2.64790824693611,-0.159829725954414,-1.23727811546173,7.55950336071695,5.84565240584661,-0.159829725954414,-0.45368,0.749360904821891,2014-10-01
"104",-0.862568352991872,-1.44014899438002,1.75408509117375,-0.000564264657792145,-2.14636889225483,6.57021978021979,4.59495801368439,-0.000564264657792145,-0.33026,1.31867555564155,2015-01-01
"105",-2.41872234517322,-3.04847947609414,-0.227925282229648,-0.160141833980709,-3.86360152589117,4.4619766397125,2.33359246290649,-0.160141833980709,-0.34757,0.798584644977951,2015-04-01
"106",-2.08977132186652,-2.75699597769523,-0.3051002825936,-0.316981742028137,-3.69841422897797,4.26069476282842,1.99417798154354,-0.316981742028137,-0.7126,-0.414321425420173,2015-07-01
"107",-0.980637224237142,-1.6445629696677,0.567725851062619,-0.460643062710879,-2.746639277036,5.0292315680166,2.59439728676631,-0.460643062710879,-0.90738,-0.475656461220791,2015-10-01
"108",-0.631637421771444,-1.27663069601701,0.730227791447135,-0.0802720049185252,-2.54933210113359,5.0944104655114,2.49441664349916,-0.0802720049185252,-0.78631,0.0380904053839533,2016-01-01
"109",0.141153505593365,-0.455994515652691,1.44990761350795,0.354603126432175,-1.89882586982578,5.73466221851544,2.94662038184973,0.354603126432175,-0.65223,0.263565693284561,2016-04-01
"110",1.47530063001349,0.972713177172238,2.97878207807943,0.338358440676561,-0.636233214415078,7.21872235872235,4.18309582309584,0.338358440676561,-0.79756,0.818431194941281,2016-07-01
"111",2.8286765224135,2.46697548914761,4.79759228056705,0.598376478162367,0.712479949378915,9.0346364221364,5.67983906789217,0.598376478162367,-0.98286,1.66596027552706,2016-10-01
"112",3.04795154958919,2.83427286167804,5.56424930713061,0.668086973961967,0.985476197941116,9.82036978508216,6.12313859870918,0.668086973961967,-1.0368,2.68697293948953,2017-01-01
"113",2.19578649412139,2.09948292534602,5.14605160519153,0.525673681326613,0.224572056647342,9.41904983698183,5.40874425386286,0.525673681326613,-1.1776,2.99801990935278,2017-04-01
"114",2.02505688109002,2.03591273440026,5.40453265371207,0.383348222543507,0.181682610289433,9.70594965675059,5.38099897419713,0.383348222543507,-1.3165,2.53524193060112,2017-07-01
"115",2.24302414439495,2.36259638834605,6.1132269842428,0.098103324036762,0.556052130048723,10.4643778110945,5.80312766693575,0.098103324036762,-1.2994,2.50154830350623,2017-10-01
"116",1.48775044902388,1.6846822560961,5.73392348594064,0.065061796016084,-0.0410257499228186,10.1328912466844,5.16078766353459,0.065061796016084,-1.1661,2.71901326125901,2018-01-01
"117",1.81002858756455,2.08794045584492,6.50092465067635,0.519847427734905,0.457690843996087,10.9706214689265,5.6629145530442,0.519847427734905,-1.3491,2.36451872714016,2018-04-01
"118",2.7467118571299,3.12970873891317,8.06676991128046,0.362868253666809,1.59748310318916,12.6486255519157,6.94658524426723,0.362868253666809,-1.7971,2.79503623382461,2018-07-01
"119",3.75391800677932,4.26859237932521,9.91270959229877,0.875518009221759,2.84684865952709,14.6558823529411,8.48959997222028,0.875518009221759,-2.1629,3.48903486242679,2018-10-01
"120",3.59582357072537,4.22988102643322,10.602618539181,0.970944879172529,2.95765744315844,15.5312534435262,8.88007417694078,0.970944879172529,-2.2201,4.47934591495166,2019-01-01
"121",3.22917009928216,3.96253529379982,11.049437595214,1.11499954948634,2.88367650794533,16.1824685002032,9.0356891953962,1.11499954948634,-2.3066,4.67591866499431,2019-04-01
"122",3.26359182392045,4.08894504858253,11.9274931225205,0.842060362723382,3.23289248484035,17.2942423030788,9.62302046923165,0.842060362723382,-2.4092,4.73976442874997,2019-07-01
"123",3.69782557578344,4.6210695558436,13.3063839948529,0.967058203056621,4.00629551774629,18.9487542617362,10.703691581432,0.967058203056621,-2.2317,4.95948731104945,2019-10-01
"124",3.96231391104695,4.98389687178692,14.589413479102,1.2587430861319,4.6319917148683,20.5480903225807,11.6839382488479,1.2587430861319,-1.7796,5.59998222314204,2020-01-01
"125",11.9996817444152,13.377676829154,25.1384585758652,6.21338138946802,13.2377332243508,31.681219047619,21.7791643044619,6.21338138946802,-1.5783,6.33561946219588,2020-04-01
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-01
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-01
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-01
